EmployeeKey,Employee Name,Practice,Role Level,Office,Role Target %,Billing Rate
1,Mathew Hancock,Data,Consultant,Helsinki,0.78,104.5
2,Ms Laura Watkins,Design,Senior,Tampere,0.72,149.5
3,Frederick Martin-Rhodes,Data,Senior,Tampere,0.72,143.0
4,Mr Bryan Taylor,Design,Senior,Stockholm,0.72,149.5
5,Dr Antony George,Delivery,Junior,Helsinki,0.8,65.0
6,Dr Janice Hunter,Design,Senior,Helsinki,0.72,149.5
7,Samantha Norman-Moore,Data,Consultant,Stockholm,0.78,104.5
8,Lee Clark-Smith,Design,Consultant,Tampere,0.78,109.25
9,Guy Williams,Design,Senior,Stockholm,0.72,149.5
10,Olivia King,Data,Principal,Tampere,0.55,192.5
11,Miss Katie Power,Data,Senior,Helsinki,0.72,143.0
12,Ms Dorothy Hamilton,Delivery,Senior,Tampere,0.72,130.0
13,Abigail Fry,Data,Consultant,Tampere,0.78,104.5
14,Shannon Higgins,Data,Senior,Helsinki,0.72,143.0
15,Gregory Pearce,Advisory,Senior,Tampere,0.72,162.5
16,Diana Parsons-Page,Advisory,Consultant,Tampere,0.78,118.75
17,Craig Wood,Design,Senior,Tampere,0.72,149.5
18,Mr Joel Richards,Advisory,Senior,Helsinki,0.72,162.5
19,Lindsey Browne,Design,Junior,Helsinki,0.8,74.75
20,Alice Frost,Delivery,Consultant,Helsinki,0.78,95.0
21,Glen Lynch,Design,Junior,Tampere,0.8,74.75
22,Emily Thomson,Design,Senior,Helsinki,0.72,149.5
23,Julia Andrews,Data,Junior,Stockholm,0.8,71.5
24,Mr Gordon Hall,Delivery,Consultant,Tampere,0.78,95.0
25,Dr Kyle Bradley,Delivery,Junior,Helsinki,0.8,65.0
26,Graham Leonard,Advisory,Senior,Tampere,0.72,162.5
27,Mr Benjamin Gilbert,Delivery,Principal,Helsinki,0.55,175.0
28,William Thornton,Data,Manager,Tampere,0.3,165.0
29,Wendy Brennan,Delivery,Consultant,Helsinki,0.78,95.0
30,Norman Lewis,Design,Junior,Tampere,0.8,74.75
31,Arthur Barker-Kennedy,Delivery,Senior,Tampere,0.72,130.0
32,Roger Hutchinson-Simmons,Delivery,Senior,Tampere,0.72,130.0
33,Dr Alexander Lambert,Delivery,Principal,Stockholm,0.55,175.0
34,Mrs Gemma O'Brien,Advisory,Junior,Helsinki,0.8,81.25
35,Howard Butler,Design,Junior,Helsinki,0.8,74.75
36,Mrs Donna Davies,Design,Senior,Stockholm,0.72,149.5
37,Mr Derek Sullivan,Delivery,Junior,Stockholm,0.8,65.0
38,Dr Leslie Carr,Data,Senior,Stockholm,0.72,143.0
39,Gareth Taylor,Delivery,Consultant,Helsinki,0.78,95.0
40,Miss Zoe Morris,Delivery,Principal,Helsinki,0.55,175.0
41,Leigh Jones,Delivery,Principal,Stockholm,0.55,175.0
42,Mrs Natasha Brown,Advisory,Consultant,Helsinki,0.78,118.75
43,Mrs Zoe Hopkins,Delivery,Consultant,Helsinki,0.78,95.0
44,Sheila Dixon-Evans,Design,Consultant,Helsinki,0.78,109.25
45,Justin Stevens,Design,Manager,Helsinki,0.3,172.5
46,Charlotte Randall,Data,Consultant,Tampere,0.78,104.5
47,Margaret Jenkins,Delivery,Senior,Tampere,0.72,130.0
48,Stuart Burton,Data,Consultant,Helsinki,0.78,104.5
49,Sandra Hewitt-Smith,Design,Senior,Stockholm,0.72,149.5
50,Dr Julia Nicholson,Advisory,Consultant,Stockholm,0.78,118.75
51,Julia Martin,Data,Junior,Tampere,0.8,71.5
52,Stephen Jones,Advisory,Consultant,Helsinki,0.78,118.75
53,Barbara Bryant,Design,Senior,Stockholm,0.72,149.5
54,Melissa Singh,Design,Senior,Tampere,0.72,149.5
55,Ms Pauline Johnson,Data,Principal,Helsinki,0.55,192.5
56,Mr Justin Jones,Delivery,Manager,Stockholm,0.3,150.0
57,Charlie Bird,Delivery,Junior,Helsinki,0.8,65.0
58,Holly Graham,Delivery,Senior,Helsinki,0.72,130.0
59,Mrs Lucy Collins,Delivery,Consultant,Tampere,0.78,95.0
60,Neil Smith,Advisory,Junior,Tampere,0.8,81.25
