DonorKey,Donor Name,Country,Region,Age Band,Acquisition Date,Acquisition ChannelKey,Donor Type,Consent Status
1,Elizabeth Stanley,FI,Pirkanmaa,30-44,2025-02-23,2,Individual,Email only
2,Rachael Mann,NO,Oslo,30-44,2024-12-01,1,Individual,Full
3,Harry Potter,NO,Trøndelag,60-74,2025-06-12,1,Individual,Email only
4,Sharon Martin,FI,Pohjois-Pohjanmaa,18-29,2022-10-22,3,Individual,Email only
5,Graeme Gregory-Morgan,FI,Pohjois-Pohjanmaa,45-59,2023-12-22,2,Individual,Full
6,Mrs Olivia Singh,DK,Syddanmark,30-44,2023-08-03,1,Individual,Post only
7,Rosemary Jackson,FI,Pohjois-Pohjanmaa,60-74,2025-04-24,5,Individual,Full
8,Stuart Connor,NO,Oslo,30-44,2023-12-09,1,Individual,Full
9,Dr Clive Payne,SE,Västra Götaland,45-59,2025-02-03,3,Individual,Full
10,Charles Singh,SE,Stockholm,30-44,2024-11-04,5,Trust,Full
11,Douglas Turner-Roberts,SE,Västra Götaland,30-44,2024-10-29,2,Individual,Full
12,Geoffrey Lane,FI,Pirkanmaa,75+,2022-09-30,1,Individual,Full
13,Ms Joyce Jackson,FI,Pirkanmaa,60-74,2022-12-27,1,Individual,Full
14,Mr Vincent Booth,DK,Syddanmark,60-74,2025-04-23,2,Individual,Post only
15,Ms Lisa Wright,FI,Pohjois-Pohjanmaa,60-74,2023-12-12,4,Individual,Full
16,Dr Luke Booth,DK,Sjælland,30-44,2023-02-25,1,Individual,Full
17,Simon Hall-Jackson,NO,Oslo,45-59,2023-12-21,1,Individual,Email only
18,Jason Carter-Faulkner,FI,Pirkanmaa,30-44,2025-11-03,1,Individual,Full
19,Jack Webb,SE,Uppsala,45-59,2025-05-21,1,Individual,Email only
20,Lesley Lucas,DK,Hovedstaden,18-29,2022-12-25,4,Individual,Post only
21,Brenda Humphreys,FI,Uusimaa,45-59,2025-04-05,2,Individual,Full
22,Miss Jodie Barnes,FI,Pohjois-Pohjanmaa,30-44,2025-01-07,2,Trust,Full
23,Dr Jeremy Cook,FI,Uusimaa,30-44,2023-07-10,6,Individual,Full
24,Dr Bethany Evans,FI,Pirkanmaa,60-74,2022-10-08,2,Individual,Full
25,Danielle Butler,FI,Varsinais-Suomi,45-59,2023-12-06,1,Individual,Post only
26,Mr Elliott Nicholson,,Varsinais-Suomi,18-29,2025-09-10,4,Individual,Full
27,Charles Bolton,SE,Stockholm,18-29,2023-03-29,2,Individual,Full
28,Ms Zoe Stevens,SE,Västra Götaland,45-59,2022-10-09,2,Individual,Post only
29,Dr Elliot Osborne,NO,Rogaland,45-59,2022-02-22,2,Individual,Full
30,Jacob Nelson,FI,Varsinais-Suomi,75+,2023-09-26,2,Individual,Post only
31,Trevor Gibbons-Hart,FI,Pirkanmaa,30-44,2025-12-13,2,Corporate,Full
32,Miss Holly James,SE,Uppsala,30-44,2022-04-03,3,Individual,Full
33,Mrs Julie Wright,FI,Pirkanmaa,75+,2023-11-28,2,Individual,Full
34,Julian Robinson,SE,Uppsala,18-29,2022-07-29,4,Individual,Full
35,Mr Mitchell Brooks,FI,Uusimaa,75+,2024-10-12,1,Individual,Email only
36,Lucy Alexander,FI,Pirkanmaa,30-44,2023-06-29,2,Trust,Full
37,Dr Joe Tomlinson,FI,Varsinais-Suomi,45-59,2022-04-24,1,Individual,Post only
38,Richard Cox-Atkins,FI,Pirkanmaa,75+,2023-01-12,1,Individual,Full
39,Ms Amber Brown,NO,Trøndelag,45-59,2025-12-03,2,Individual,Full
40,Donna Daniels-Butcher,SE,Stockholm,18-29,2025-04-04,1,Individual,Full
41,Mr Clifford Howard,SE,Stockholm,60-74,2023-01-11,1,Individual,Post only
42,Glenn Watson,FI,Pohjois-Pohjanmaa,18-29,2023-12-22,1,Individual,Post only
43,Dr Rachael Doherty,NO,Oslo,60-74,2025-06-05,1,Individual,Post only
44,Mr Dean Harris,NO,Oslo,30-44,2025-04-18,4,Individual,Email only
45,Ellie Chan,DK,Syddanmark,60-74,2022-12-29,1,Individual,Email only
46,Richard Lawrence-Hudson,NO,Trøndelag,18-29,2025-04-22,4,Individual,Full
47,Kayleigh Fletcher,FI,Uusimaa,30-44,2024-06-13,5,Individual,Full
48,Ryan Byrne,SE,Uppsala,60-74,2024-11-19,4,Individual,Full
49,Katherine Stokes-Birch,DK,Sjælland,18-29,2023-04-05,5,Individual,Full
50,Mr Jacob Clark,FI,Pirkanmaa,45-59,2024-12-17,1,Individual,Full
51,Maurice Page,SE,Uppsala,30-44,2024-03-16,1,Individual,Post only
52,Mr Ben Smith,SE,Västra Götaland,18-29,2025-01-14,2,Individual,Full
53,Jessica Clayton-Davis,NO,Vestland,18-29,2025-10-24,3,Individual,Full
54,Dr Jamie Atkins,DK,Sjælland,30-44,2022-12-24,2,Individual,Full
55,Geoffrey Anderson,FI,Uusimaa,30-44,2023-04-14,2,Individual,Full
56,Wendy Richardson-Jones,SE,Uppsala,75+,2024-11-24,5,Individual,Email only
57,Sylvia Scott,NO,Oslo,30-44,2024-12-30,5,Individual,Full
58,John Hudson,FI,Uusimaa,45-59,2025-04-12,1,Individual,Email only
59,Kayleigh Smith-Brown,FI,Uusimaa,30-44,2024-08-02,1,Individual,Full
60,Cheryl Williams,FI,Pirkanmaa,45-59,2025-09-03,3,Individual,Full
61,Miss Louise Sullivan,FI,Pirkanmaa,60-74,2024-12-10,6,Individual,Full
62,Elizabeth Ford,FI,Pirkanmaa,45-59,2024-03-08,5,Individual,Email only
63,Dr Karl Walker,FI,Varsinais-Suomi,60-74,2025-12-22,3,Individual,Email only
64,Ms Ann Oliver,SE,Stockholm,60-74,2023-12-20,4,Individual,Full
65,Naomi Allen,,Varsinais-Suomi,18-29,2022-12-16,1,Individual,Full
66,Neil Lloyd,FI,Pohjois-Pohjanmaa,45-59,2025-12-16,2,Individual,Email only
67,Angela Davies,FI,Uusimaa,60-74,2022-12-06,1,Individual,Email only
68,Benjamin Webb-Parry,SE,Västra Götaland,45-59,2024-02-04,4,Individual,Full
69,Sean Dean,FI,Varsinais-Suomi,30-44,2022-12-18,1,Individual,Full
70,Dr Christian Gilbert,FI,Pohjois-Pohjanmaa,18-29,2022-11-06,4,Individual,Email only
71,Dr Owen Gregory,FI,Uusimaa,45-59,2024-02-13,4,Individual,Full
72,Stephen Harper,SE,Uppsala,30-44,2024-03-18,2,Individual,Full
73,Martin McKenzie,DK,Midtjylland,45-59,2022-01-16,1,Individual,Full
74,Lucy Khan,SE,Skåne,45-59,2023-08-04,1,Individual,Full
75,Dr Jade Flynn,DK,Hovedstaden,45-59,2024-07-17,4,Trust,Email only
76,Kelly Dawson-Blake,NO,Oslo,30-44,2024-11-29,2,Individual,Full
77,Nicole Walsh,DK,Syddanmark,18-29,2024-09-25,2,Individual,Full
78,Maureen Peacock-Kelly,FI,Uusimaa,18-29,2023-01-26,1,Individual,Full
79,Kevin Hughes-Ward,SE,Uppsala,60-74,2022-03-11,1,Corporate,Full
80,Fiona Fuller,FI,Pirkanmaa,18-29,2022-05-26,1,Individual,Full
81,Mr Glenn Clarke,SE,Stockholm,45-59,2025-12-22,1,Individual,Full
82,Karen Gallagher,SE,Skåne,60-74,2023-07-31,2,Individual,Email only
83,Mr Damien James,FI,Uusimaa,45-59,2022-10-08,1,Individual,Full
84,Harriet Kay,DK,Syddanmark,75+,2024-01-12,1,Individual,Email only
85,Grace French,FI,Varsinais-Suomi,30-44,2025-09-04,1,Individual,Full
86,Ms Melissa Lloyd,FI,Pirkanmaa,75+,2022-02-11,1,Individual,Email only
87,Mr Alex McKenzie,NO,Vestland,75+,2025-12-13,1,Individual,Email only
88,Sheila Bailey,FI,Pirkanmaa,18-29,2024-07-29,1,Individual,Post only
89,Terence Spencer,FI,Uusimaa,60-74,2025-10-10,2,Individual,Full
90,Miss Amber Stevens,FI,Varsinais-Suomi,30-44,2023-12-14,1,Individual,Email only
91,Ross Godfrey,FI,Pohjois-Pohjanmaa,45-59,2024-12-09,1,Individual,Full
92,Barbara Jones,DK,Syddanmark,60-74,2024-09-12,5,Individual,Full
93,Owen Morgan,SE,Stockholm,45-59,2025-08-09,1,Individual,Post only
94,Chelsea Farrell,SE,Västra Götaland,30-44,2023-02-16,1,Individual,Full
95,Hilary Dunn,NO,Rogaland,45-59,2025-07-08,1,Individual,Email only
96,Dr Josh Williams,SE,Västra Götaland,75+,2024-11-23,2,Individual,Email only
97,Adrian Jackson,SE,Västra Götaland,60-74,2022-12-21,5,Individual,Email only
98,Gary Wilson-Carter,FI,Pirkanmaa,60-74,2024-07-11,1,Trust,Post only
99,Samantha Talbot,DK,Hovedstaden,18-29,2025-12-20,6,Individual,Email only
100,Mrs Rosie Edwards,FI,Uusimaa,18-29,2022-11-11,3,Individual,Email only
101,Debra Wilkinson-Lee,SE,Uppsala,45-59,2024-09-07,5,Individual,Email only
102,Dr Beverley Day,FI,Uusimaa,60-74,2023-01-06,4,Corporate,Full
103,Rachel Andrews,FI,Pirkanmaa,60-74,2025-03-05,1,Individual,Full
104,Dr Gary Chambers,FI,Pohjois-Pohjanmaa,45-59,2025-06-24,1,Individual,Full
105,Joan Murray,DK,Midtjylland,60-74,2022-10-17,1,Individual,Full
106,Mr Jason Phillips,FI,Pohjois-Pohjanmaa,30-44,2024-03-23,1,Individual,Email only
107,Dr Dominic Clements,NO,Oslo,18-29,2022-02-05,7,Individual,Full
108,Dr Kimberley Bell,FI,Pohjois-Pohjanmaa,45-59,2022-01-05,1,Individual,Full
109,Luke Lane,FI,Pohjois-Pohjanmaa,60-74,2022-12-23,1,Individual,Full
110,Joseph Hunt,SE,Skåne,30-44,2025-08-18,2,Individual,Email only
111,June Storey,SE,Stockholm,18-29,2022-12-12,2,Individual,Full
112,Dr Daniel Roberts,DK,Hovedstaden,60-74,2025-10-12,1,Individual,Full
113,Tina Holland,FI,Uusimaa,45-59,2023-06-18,5,Individual,Full
114,Molly Hart,NO,Vestland,60-74,2025-12-09,5,Individual,Full
115,William Heath,FI,Pirkanmaa,45-59,2025-11-29,4,Individual,Post only
116,Mrs Fiona Miah,NO,Vestland,60-74,2023-12-24,4,Individual,Full
117,Miss Ruth Martin,DK,Hovedstaden,30-44,2025-10-21,2,Individual,Full
118,Josh Young,SE,Uppsala,45-59,2024-06-30,1,Individual,Email only
119,Steven Thomas,FI,Pohjois-Pohjanmaa,18-29,2025-09-20,5,Individual,Full
120,Yvonne O'Neill,FI,Uusimaa,75+,2025-03-06,6,Individual,Email only
121,Leon Duffy,FI,Pirkanmaa,30-44,2025-01-09,5,Individual,Email only
122,Ricky Matthews,NO,Trøndelag,45-59,2023-12-10,1,Individual,Email only
123,Joel Payne,DK,Midtjylland,45-59,2025-08-13,2,Individual,Full
124,Mrs Jenna Stevenson,,Pirkanmaa,45-59,2025-07-04,4,Individual,Full
125,Ryan Collins,FI,Pohjois-Pohjanmaa,18-29,2023-12-13,3,Individual,Full
126,Hollie Sullivan,DK,Syddanmark,18-29,2024-04-14,1,Individual,Email only
127,Dr Oliver Griffiths,NO,Rogaland,45-59,2022-12-23,2,Individual,Full
128,Albert Moore,FI,Pohjois-Pohjanmaa,75+,2025-03-18,1,Individual,Email only
129,Ben James,FI,Uusimaa,30-44,2025-10-30,6,Individual,Full
130,Conor Hunter,SE,Uppsala,18-29,2025-04-26,1,Individual,Full
131,Victor Smith,SE,Stockholm,30-44,2024-06-05,2,Individual,Full
132,Jack Taylor,SE,Stockholm,30-44,2024-06-01,2,Individual,Full
